"","recordTime","cognitoId","device","sensorname","lat","long"
"153",1423452168.037,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610223394231,-122.333094174745
"154",1423452168.375,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610223413907,-122.33309425536
"155",1423452168.709,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102233696619,-122.333094071794
"156",1423452169.043,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102234096321,-122.333094237613
"157",1423452169.377,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102234316181,-122.333094328824
"158",1423452169.715,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.610223317762,-122.333093856484
"159",1423452170.048,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102233695894,-122.333094071493
"160",1423452170.383,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102234170426,-122.333094268356
"161",1423452170.716,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102233568978,-122.333094018841
"162",1423452171.052,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102234187318,-122.333094275364
"163",1423452171.388,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102383691755,-122.333056771067
"164",1423452171.726,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102383691755,-122.333056771067
"165",1423452172.062,"eu-west-1:84c07429-eaa3-4d2a-ac42-29ee31f48ff4","iPhone","geoLocation",47.6102383691755,-122.333056771067
